song_id,filename,language,path
0,english_blues_blues.00000.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00000.wav
1,english_blues_blues.00001.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00001.wav
2,english_blues_blues.00002.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00002.wav
3,english_blues_blues.00003.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00003.wav
4,english_blues_blues.00004.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00004.wav
5,english_blues_blues.00005.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00005.wav
6,english_blues_blues.00006.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00006.wav
7,english_blues_blues.00007.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00007.wav
8,english_blues_blues.00008.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00008.wav
9,english_blues_blues.00009.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00009.wav
10,english_blues_blues.00010.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00010.wav
11,english_blues_blues.00011.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00011.wav
12,english_blues_blues.00012.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00012.wav
13,english_blues_blues.00013.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00013.wav
14,english_blues_blues.00014.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00014.wav
15,english_blues_blues.00015.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00015.wav
16,english_blues_blues.00016.wav,english,C:\Users\ASUS VivoBook\msc\CSE715\project\data\audio\english\english_blues_blues.00016.wav
